week,S,I,R,E,H,C,Q,P,V,R_t
56.0,0.0,0.54417217,3366.4795,0.0,16.553747,0.0,10.632958,0.0,186.63336,0.0
57.0,4.3198214,0.8263815,3374.8452,0.0,13.160095,0.0,9.939107,0.0,186.73492,0.010748605179227001
58.0,5.5770845,0.0,3377.8447,0.9438812,11.346672,0.0,9.104893,0.0,186.58527,0.013870841566111965
59.0,0.0,0.0,3361.1821,1.0905154,10.642221,0.0,8.152201,0.0,186.89885,0.0
60.0,6.826401,0.0,3376.4622,1.056968,9.982929,0.0,7.3942776,0.0,186.77231,0.01699178981432765
61.0,3.3686879,0.0,3382.3364,0.46652716,6.4441905,0.0,6.816884,0.0,186.53708,0.008391001760998464
62.0,0.0,0.0,3391.1135,0.493128,4.795095,0.0,6.3299384,0.0,186.65736,0.0
63.0,0.0,0.0,3385.031,0.0,2.7458324,0.0,5.966805,0.0,186.77686,0.0
64.0,0.0,1.3823477,3383.2087,0.27319232,4.9824824,0.0,5.9184155,0.0,186.86234,0.0
65.0,0.0,0.77865124,3388.1714,0.5127843,3.6486201,0.0,4.914571,0.0,186.76402,0.0
66.0,0.0,0.9125315,3389.2034,0.7267309,2.0696702,0.0,4.616521,0.0,186.60657,0.0
67.0,0.0,0.0,3383.6873,0.0,2.5636442,0.0,4.5543637,0.0,186.38174,0.0
68.0,4.7904816,0.0,3395.9297,0.14070038,1.5638961,0.0,4.0375996,0.0,186.97757,0.011907715511284198
69.0,1.737744,0.70552063,3389.173,0.0,2.1902416,0.0,3.957314,0.0,186.63065,0.004330416293515797
70.0,0.54295737,0.0,3388.9744,0.0,1.4913628,0.0,3.3894708,0.0,186.93323,0.0013541940060687876
71.0,0.0,0.0799296,3387.4675,0.021755207,1.6689878,0.0,3.2714598,0.0,186.84534,0.0
72.0,2.4139626,0.5572068,3384.3896,0.014978178,0.7735311,0.0,3.01505,0.0,186.61397,0.006026661142590886
73.0,0.0,0.24666072,3392.5725,0.0,1.3190589,0.0,2.3555703,0.0,186.58397,0.0
74.0,2.9607155,0.21774419,3395.3638,0.36741772,0.6953068,0.0,2.542297,0.0,186.85611,0.007368557619340792
75.0,1.8726577,0.0,3387.195,1.2012426,0.7969832,0.0,2.4053876,0.0,186.93579,0.004671815078309782
76.0,0.0,0.0,3402.2554,0.07149485,0.19203942,0.0,2.5326774,0.0,186.5542,0.0
77.0,3.6384017,0.0,3391.7085,0.0,0.20878856,0.0,1.3524657,0.0,186.6689,0.009068878248816659
78.0,0.0,0.0,3390.2358,0.0,3.043007,0.0,1.6962836,0.0,186.69167,0.0
79.0,0.28476435,1.5082036,3394.6418,0.0,0.2768451,0.0,1.5073682,0.0,186.79005,0.0007095042876667869
80.0,0.9983515,0.0,3392.6716,1.1698077,0.0,0.0,1.146549,0.0,186.65776,0.0024890835828450426
81.0,5.1803308,0.0,3386.1765,0.0,2.3510258,0.0,1.141947,0.0,186.53577,0.012920105950650181
82.0,5.4432774,0.5780377,3397.9834,0.0,0.0951214,0.0,1.024237,0.0,186.66852,0.013536577708297214
83.0,1.404092,0.9614029,3389.7676,0.18989483,0.86554843,0.0,0.95310783,0.0,186.71109,0.0035024243155816924
84.0,1.1345867,0.0,3391.5046,0.31994203,0.0,0.0,0.95545256,0.0,186.52129,0.002830488848644182
85.0,3.9008136,2.1911354,3380.6096,0.7413325,0.928833,0.0,0.97951406,0.0,186.9986,0.009742599885054347
86.0,0.0,0.0,3389.87,0.0,0.44066486,0.0,1.2348422,0.0,186.56163,0.0
87.0,0.0,1.6807797,3386.0857,0.0,0.0,0.0,0.34796938,0.0,186.71486,0.0
88.0,1.3463401,0.3833215,3392.0278,0.13692616,0.5111572,0.0,1.1121475,0.0,186.90793,0.0033568910720336883
89.0,0.0,0.0,3389.3613,1.1702468,0.4007189,0.0,1.0091769,0.0,186.69313,0.0
90.0,0.0,0.0,3391.861,0.0,0.0,0.0,0.51047313,0.0,186.96582,0.0
91.0,0.0,0.73365396,3394.437,0.0,0.0,0.0,0.8204772,0.0,186.77242,0.0
92.0,0.0,0.0,3389.747,1.3475486,0.0,0.0,0.2153114,0.0,186.75078,0.0
93.0,0.0,1.5005165,3401.1821,0.20665069,0.7605323,0.0,0.30176133,0.0,186.44565,0.0
94.0,0.0,0.0,3388.785,0.0,0.0,0.0,0.36755246,0.0,186.93787,0.0
95.0,5.6415854,0.6173814,3393.3833,0.0,0.7403146,0.0,0.6985927,0.0,186.5202,0.014046128833775087
96.0,2.684497,0.0,3399.201,0.48833504,0.0,0.0,0.38833666,0.0,186.72957,0.006680202991678291
97.0,1.0876476,0.99286985,3388.3364,2.034298,0.37101766,0.0,0.15170592,0.0,186.86417,0.0027138414157464527
98.0,0.0,0.0,3396.3254,0.38523936,0.0,0.0,0.48138395,0.0,186.8324,0.0
99.0,0.0,0.0,3388.343,0.11457422,0.0,0.0,0.31997165,0.0,186.74689,0.0
100.0,1.5866079,0.0,3390.4026,0.35705763,0.0,0.0,0.5564458,0.0,186.73137,0.00395904698136469
101.0,7.179121,0.0,3397.6638,0.0,0.10881001,0.0,0.33424267,0.0,186.56892,0.01785303904913381
102.0,2.0169976,0.0,3386.5522,0.0,1.0729802,0.0,0.43396473,0.0,186.69142,0.005037027465390815
103.0,8.477622,0.5481566,3381.9575,0.0,1.6783202,0.0,0.15006988,0.0,186.77332,0.0211544158209802
104.0,3.2805166,1.0752679,3390.4233,0.0,0.0,0.0,0.29810107,0.0,187.0565,0.008180128288734463
105.0,0.0,0.0,3391.611,0.0,0.25536564,0.0,0.15667863,0.0,186.56671,0.0
106.0,0.9874257,0.37757948,3392.025,0.14242548,0.0,0.0,0.0,0.0,186.86554,0.002463387856936294
107.0,0.0,0.0,3388.5173,0.17750593,0.0,0.0,0.13454297,0.0,186.62643,0.0
108.0,0.0,0.0,3399.706,0.0,0.0,0.0,0.32109308,0.0,186.7181,0.0
109.0,0.0,0.0721453,3392.0144,0.0591291,0.0,0.0,0.0,0.0,186.60533,0.0
110.0,0.0,0.0,3389.6616,0.8126188,1.1127473,0.0,0.0,0.0,186.7891,0.0
111.0,7.9914184,0.0,3391.6965,0.0,1.1672378,0.0,0.036379524,0.0,186.74554,0.01989642393431405
112.0,3.121318,0.0,3398.2231,0.74248594,1.5840062,0.0,0.0,0.0,186.54028,0.007765647906602788
113.0,2.5138805,0.2790789,3399.809,0.46108523,0.9531642,0.0,0.0,0.0,186.7012,0.006253498599898438
114.0,4.287132,0.0,3389.087,0.0,1.1543105,0.0,0.0,0.0,186.69276,0.010692896509887575
115.0,7.2182,0.0,3392.9622,0.5347555,1.1978532,0.0,0.15990362,0.0,186.91315,0.017964569902861795
116.0,0.0,0.46103385,3388.836,0.0,0.0,0.0,0.061760042,0.0,186.87173,0.0
117.0,5.084948,0.0,3403.2275,0.0,0.0,0.0,0.3307232,0.0,186.85443,0.012632438134122709
118.0,0.0,1.59467,3392.9917,0.15856208,0.0,0.0,0.2133926,0.0,186.79335,0.0
119.0,0.0,0.0,3397.3098,0.0,0.1445774,0.0,0.0,0.0,186.8832,0.0
120.0,1.4924594,0.036973547,3401.34,0.9472537,0.031106861,0.0,0.14530204,0.0,186.68355,0.0037126660769055894
121.0,0.0,1.1525599,3392.073,0.038109332,0.0,0.0,0.27238682,0.0,186.78452,0.0
122.0,0.0,0.0,3393.3008,1.4919746,0.0,0.0,0.0,0.0,186.67728,0.0
123.0,0.0,0.8384725,3397.7651,1.2335038,0.24690187,0.0,0.5631559,0.0,187.03268,0.0
124.0,0.0,0.4045774,3391.9048,0.0,1.8345608,0.0,0.044900794,0.0,186.71335,0.0
125.0,2.1698472,0.0,3399.1895,1.22834,0.88865423,0.0,0.296807,0.0,186.84,0.005397842619372031
126.0,1.6972286,0.90071297,3395.3032,0.0,0.0,0.0,0.45398197,0.0,186.769,0.004228592127648249
127.0,1.672561,0.58008546,3390.388,0.0,0.7889539,0.0,0.062751815,0.0,186.56842,0.004173027568844521
128.0,6.1288986,0.0,3383.1587,0.0,0.0,0.0,0.0,0.0,187.12025,0.015307175645340253
129.0,2.018591,0.0,3392.2102,0.34364298,0.0,0.0,0.13173625,0.0,186.71646,0.0050344571869676644
130.0,0.66361064,0.41095528,3389.1487,0.0,0.0,0.0,0.0,0.0,186.75604,0.0016571300009281691
131.0,0.7875004,0.0,3390.6648,0.0,0.0,0.0,0.21368583,0.0,186.42067,0.0019658916856630905
132.0,7.676439,0.0,3394.4458,0.0,0.14405085,0.0,0.025188023,0.0,186.57741,0.019105652165042147
133.0,2.4482784,0.10778333,3393.4934,0.34894583,0.67388296,0.0,0.0880673,0.0,186.8728,0.006101666299598343
134.0,0.0,0.0,3400.9333,0.0,0.6014608,0.0,0.4340024,0.0,186.8964,0.0
135.0,6.6119504,0.0,3384.3125,0.79840803,0.0,0.0,0.0,0.0,186.73329,0.016504164885958506
136.0,0.0,2.671295,3398.4207,0.32857573,2.113691,0.0,0.0773459,0.0,187.01523,0.0
137.0,5.0641675,0.54166746,3393.8425,1.0331074,0.0,0.0,0.23423925,0.0,186.5912,0.012609538560650424
138.0,0.0,0.0,3396.1433,0.6678666,0.0,0.0,0.0,0.0,186.57246,0.0
139.0,2.823396,0.25847793,3396.6257,0.0,0.0,0.0,0.13623981,0.0,187.16185,0.007030713332380431
140.0,1.7804183,0.10093804,3401.543,0.27736276,0.0,0.0,0.005302841,0.0,186.55843,0.004429504578216431
141.0,0.0,0.0,3389.216,0.048558053,0.0,0.0,0.37054124,0.0,186.8747,0.0
142.0,0.0,0.0,3395.626,0.0,0.0,0.0,0.0,0.0,186.79578,0.0
143.0,0.0,0.0,3393.541,0.13088934,0.0,0.0,0.0,0.0,186.97334,0.0
144.0,0.0,0.8522939,3395.3057,0.0,0.0,0.0,0.25990143,0.0,186.59105,0.0
145.0,3.9925141,0.031375233,3383.0537,0.0,1.3051865,0.0,0.2151486,0.0,186.85085,0.009974142483392706
146.0,0.6484039,0.0,3396.0635,0.4064029,0.23772036,0.0,0.0,0.0,186.7454,0.0016159390810692252
147.0,0.0,0.0,3388.5996,0.39435256,0.0,0.0,0.0,0.0,186.56885,0.0
148.0,0.0,0.0,3398.6455,1.7861197,0.0,0.0,0.0,0.0,186.74123,0.0
149.0,1.9455853,0.6698424,3391.2615,0.89307296,0.0,0.0,0.2524083,0.0,186.84908,0.004851766992952273
150.0,0.0,0.82915324,3388.1475,0.0,0.008408754,0.0,0.029728841,0.0,186.8233,0.0
151.0,0.0,1.6573874,3389.857,0.3565377,0.0,0.0,0.1785347,0.0,186.49074,0.0
152.0,0.0,1.0557709,3389.9016,0.0,0.5687,0.0,0.0,0.0,186.86668,0.0
153.0,0.0,0.0,3395.1052,0.28877908,0.0,0.0,0.56150794,0.0,186.56323,0.0
154.0,0.0,0.4497341,3396.0237,1.2216372,0.0,0.0,0.0034752109,0.0,186.78084,0.0
155.0,11.22902,0.0,3394.9573,0.4086708,0.0,0.0,0.054726455,0.0,186.74802,0.02791233958305048
156.0,2.0524104,1.094236,3384.5828,0.0,0.0,0.0,0.018921804,0.0,186.76277,0.005128699047649942
157.0,0.0,0.0,3394.2715,0.0,0.3234146,0.0,0.0,0.0,186.79845,0.0
158.0,6.251056,1.0369853,3397.4714,0.17822383,0.86136615,0.0,0.0,0.0,186.62639,0.015542658494020044
159.0,5.1217685,0.21200307,3396.1445,0.17556092,0.0,0.0,0.0,0.0,186.73907,0.012749102596507035
160.0,1.1046032,3.49392,3381.5066,0.0,0.8658845,0.0,0.20045048,0.0,186.79861,0.0027606734717479835
161.0,5.495877,0.39366472,3393.3464,0.97362536,0.24696828,0.0,0.20305136,0.0,186.68004,0.013684349437160844
162.0,0.0,1.5705793,3382.3572,0.8127055,0.096654974,0.0,0.0,0.0,186.82079,0.0
163.0,2.225929,0.0,3392.7678,0.0,0.6087295,0.0,0.0,0.0,186.843,0.005549979622218237
164.0,0.0,0.8376463,3395.6614,0.72250766,0.0,0.0,0.098375455,0.0,187.00146,0.0
165.0,2.6055906,0.0,3393.5542,0.0,0.08522565,0.0,0.29882085,0.0,186.62361,0.00649529287816627
166.0,0.0,0.48998773,3399.3118,0.7538115,0.0,0.0,0.24348018,0.0,186.73148,0.0
167.0,9.373519,0.0,3396.3857,1.1719482,0.0,0.0,0.17559654,0.0,187.06262,0.023295057268259835
168.0,4.156377,0.50964195,3386.779,0.0,0.0,0.0,0.0,0.0,186.72496,0.01037560927657648
169.0,6.5853353,0.19833991,3389.535,0.07051756,0.04207722,0.0,0.08094285,0.0,186.7753,0.016415567864629187
170.0,0.0,0.0,3393.213,0.119113915,0.0,0.0,0.0,0.0,186.58458,0.0
171.0,0.0,0.00054017315,3402.4382,0.40021935,0.94724345,0.0,0.0,0.0,186.93161,0.0
172.0,0.0,0.0,3389.3657,0.11609344,0.0,0.0,0.061191168,0.0,186.81294,0.0
173.0,0.0,0.0,3396.854,0.0,0.0,0.0,0.05101827,0.0,186.86537,0.0
174.0,6.3752685,0.7318291,3392.9536,1.0696756,0.0,0.0,0.0,0.0,186.86378,0.01587107760897457
175.0,0.35512388,0.38962314,3391.5562,0.062100977,0.0,0.0,0.0,0.0,186.7444,0.0008862674721172514
176.0,0.0,0.03522202,3400.404,0.0,0.0,0.0,0.0,0.0,186.54994,0.0
177.0,0.0,0.8485705,3387.8118,1.3230897,1.9538686,0.0,0.42692754,0.0,186.91458,0.0
178.0,0.0,0.59158665,3390.941,0.0,0.0,0.0,0.0231563,0.0,186.95262,0.0
179.0,0.0,0.0,3395.3938,0.0,0.0,0.0,0.0,0.0,186.74576,0.0
180.0,2.364793,0.13748303,3397.4202,0.5564815,0.019058345,0.0,0.3435972,0.0,186.54225,0.005888097096454654
181.0,6.6658053,0.0,3394.043,0.0,1.409565,0.0,0.3426836,0.0,187.01076,0.01658753110790036
182.0,0.0,0.32956547,3406.8813,0.0,0.6705578,0.0,0.0,0.0,186.81647,0.0
183.0,0.0,0.0,3391.5515,0.0027437657,0.022981754,0.0,0.123757206,0.0,186.70119,0.0
184.0,10.61181,0.0,3380.954,0.0,0.0,0.0,0.0,0.0,186.97345,0.026487643514336634
185.0,3.6687226,0.83547825,3394.3945,0.0,2.0011327,0.0,0.45833242,0.0,186.9816,0.009132317116734335
186.0,0.0,0.87999636,3405.7908,0.0,0.0,0.0,0.17362092,0.0,187.11917,0.0
187.0,4.253325,0.0,3393.6213,0.39773512,1.0090129,0.0,0.0,0.0,186.85211,0.010594044148165413
188.0,0.9760082,0.0,3396.2234,0.0,0.0,0.0,0.29842064,0.0,186.66548,0.0024323458950832144
189.0,3.3821528,0.004892369,3393.5266,0.0,1.4964719,0.0,0.0,0.0,186.8659,0.008426171468400905
190.0,0.0,0.0,3409.9385,0.0,2.0693612,0.0,0.0,0.0,186.98688,0.0
191.0,0.0,0.0,3390.6096,1.4803433,0.16324498,0.0,0.0,0.0,186.91241,0.0
192.0,0.0,0.0,3392.014,0.12592734,0.21299082,0.0,0.0,0.0,186.74908,0.0
193.0,1.7473003,0.3012052,3393.6465,0.96139944,0.8499335,0.0,0.12338825,0.0,186.86687,0.004354106424205297
194.0,0.0,0.9848276,3389.0134,1.211472,1.163932,0.0,0.0,0.0,186.77415,0.0
195.0,0.0,0.14758761,3389.027,0.0,0.0,0.0,0.0,0.0,186.76303,0.0
196.0,0.64266783,1.397818,3386.2542,0.0,0.0,0.0,0.20866902,0.0,186.67886,0.0016056395316071728
197.0,0.0,0.0,3391.4316,0.0,0.0,0.0,0.19005325,0.0,186.69858,0.0
198.0,0.0,1.0474364,3392.9385,0.0,0.0,0.0,0.29925793,0.0,186.77855,0.0
199.0,6.024622,0.43631062,3390.0168,0.0,0.0,0.0,0.0,0.0,186.97023,0.015017179079908474
200.0,2.6972175,1.7478478,3392.3083,0.43765703,0.0,0.0,0.0,0.0,186.65901,0.006722422365973026
201.0,3.855822,0.0,3388.6394,0.0,0.0,0.0,0.3845082,0.0,186.88751,0.009621036523121615
202.0,0.0,0.0,3399.8423,0.5737541,0.0,0.0,0.0,0.0,186.60721,0.0
203.0,0.0,0.21662144,3396.2917,0.0,0.8743815,0.0,0.0,0.0,186.78625,0.0
204.0,0.0,0.92236996,3393.564,0.0,0.7758076,0.0,0.2359287,0.0,186.71057,0.0
205.0,3.4062736,1.577351,3398.8115,0.0,0.0,0.0,0.22822897,0.0,186.76265,0.008473243152818404
206.0,3.5568037,0.0,3401.0823,0.7005838,0.055308916,0.0,0.0,0.0,186.89685,0.008843984131309194
207.0,4.433145,0.0,3397.2666,0.0,0.0861552,0.0,0.0,0.0,186.86978,0.011034173697303652
208.0,1.4944515,1.0721296,3399.5154,0.15940963,0.0,0.0,0.0,0.0,186.89229,0.003719219985255176
209.0,6.45608,0.0,3397.7712,0.0,0.0,0.0,0.0,0.0,186.91768,0.016058154291617676
210.0,5.486901,0.0,3387.2932,0.0,0.0,0.0,0.06476589,0.0,186.61755,0.01369206546468476
211.0,1.4069341,0.34581265,3399.5813,0.0,0.6088528,0.0,0.2522298,0.0,186.50575,0.0035018389930990407
212.0,0.8935435,0.9252311,3398.203,1.1602842,0.7907962,0.0,0.39094883,0.0,186.80452,0.002223727393692643
213.0,0.0,0.0,3390.6294,1.0993499,1.8942931,0.0,0.0,0.0,186.5552,0.0
214.0,0.0,0.0,3392.3445,0.47294435,0.0,0.0,0.2389715,0.0,186.75719,0.0
215.0,0.0,0.0,3395.054,0.0,0.10909043,0.0,0.0,0.0,186.76439,0.0
216.0,2.9427714,0.31605035,3392.7217,0.21863131,0.0,0.0,0.0,0.0,186.7744,0.007336224257099432
217.0,6.235439,0.19772731,3395.0676,0.047782663,0.0,0.0,0.08259915,0.0,186.87036,0.015520780355401064
218.0,2.9892423,0.0,3398.7712,0.13936856,0.57519007,0.0,0.0,0.0,186.66498,0.007439271124748379
219.0,0.0,0.0,3382.2686,0.0,0.7208003,0.0,0.0,0.0,187.04524,0.0
220.0,0.0,0.0,3382.1052,0.0,0.5315642,0.0,0.13611639,0.0,187.11896,0.0
221.0,0.0,0.98013747,3392.3428,0.46164653,0.0,0.0,0.21550007,0.0,186.80936,0.0
222.0,0.0,0.0,3400.5537,0.94323564,0.39548686,0.0,0.0,0.0,186.64325,0.0
223.0,2.7169724,1.0873296,3404.9158,0.0,0.0,0.0,0.04460698,0.0,186.89638,0.006749415104760192
224.0,2.176662,0.0,3390.71,0.22039819,0.0,0.0,0.19943275,0.0,186.99702,0.005430387431050473
225.0,0.0,0.07638818,3387.5237,0.0,0.72367793,0.0,0.33049056,0.0,187.0909,0.0
226.0,0.0,1.304357,3384.5513,0.77246946,0.0,0.0,0.14528094,0.0,186.84695,0.0
227.0,10.272274,0.0,3393.256,1.0369402,0.6840061,0.0,0.0,0.0,186.88066,0.025543136192177653
228.0,5.6633935,0.0,3392.1975,0.0,0.24470007,0.0,0.0,0.0,186.83813,0.014110878756626501
229.0,0.0,0.0,3390.308,0.0,0.0,0.0,0.1696759,0.0,186.90138,0.0
230.0,0.0,1.0952749,3385.6194,0.0,1.2161152,0.0,0.6032673,0.0,186.8952,0.0
231.0,4.6786275,0.0,3398.3196,0.0,0.0,0.0,0.20055534,0.0,186.89641,0.011640514429893733
232.0,4.3953934,0.78771657,3391.3267,0.0,0.6870781,0.0,0.021160286,0.0,186.67543,0.01095474638350864
233.0,5.050607,0.0,3394.9148,0.11403756,0.20715453,0.0,0.15791483,0.0,186.98822,0.01257533301351875
234.0,0.0,0.013665914,3386.7085,0.0,0.0,0.0,0.0,0.0,186.85503,0.0
235.0,6.4162183,0.0,3387.035,0.0,0.0,0.0,0.0,0.0,186.89424,0.016007144850870448
236.0,4.38785,0.0,3391.0386,1.0063775,0.0,0.0,0.0,0.0,186.89914,0.01093765900636486
237.0,0.0,0.2528551,3390.433,0.46171856,0.0,0.0,0.0,0.0,187.05383,0.0
238.0,0.87841153,0.5663145,3393.4797,0.0765179,0.0,0.0,0.0,0.0,186.46458,0.002190770656744264
239.0,0.24181625,0.0,3381.0984,0.0,0.0,0.0,0.019228248,0.0,186.80365,0.00060534151257862
240.0,0.0,0.0,3392.5134,1.240801,0.0,0.0,0.0,0.0,186.72949,0.0
241.0,2.2754214,0.0,3401.4817,0.38237914,0.48964483,0.0,0.28553417,0.0,186.7344,0.005658842472585137
242.0,2.1722746,0.0,3403.8147,0.0,2.239766,0.0,0.09349717,0.0,186.6918,0.0053972687014819205
243.0,3.6168954,0.0,3391.2734,0.43076047,0.21015534,0.0,0.0012427351,0.0,187.23831,0.009017301566341377
244.0,0.0,0.07413656,3397.0837,0.0,0.0,0.0,0.320794,0.0,186.95811,0.0
245.0,0.0,0.7884447,3393.677,0.0,0.25615656,0.0,0.17521831,0.0,186.94296,0.0
246.0,0.0,0.36299703,3391.4795,0.04154278,0.0,0.0,0.0022693686,0.0,187.04176,0.0
247.0,3.7905495,1.0893497,3386.575,0.0,0.0,0.0,0.0,0.0,186.86932,0.009461982895442873
248.0,0.0,0.0,3388.764,0.0,0.0,0.0,0.0,0.0,186.98184,0.0
249.0,5.0589523,0.0,3399.9333,0.0,0.0,0.0,0.0,0.0,186.9718,0.0125802208720863
250.0,0.0,0.3375355,3394.1094,0.70436233,0.0,0.0,0.0,0.0,186.9938,0.0
